"filename", "language", "Shell Script", "Markdown", "Docker", "YAML", "Ruby", "Makefile", "Ini", "Properties", "TOML", "comment", "blank", "total"
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/match_prev_cmd_spec.rb", "Ruby", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/strategies/special_characters_helper.rb", "Ruby", 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 10, 76
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/terminal_session.rb", "Ruby", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 27, 100
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/disable_spec.rb", "Ruby", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/enable_spec.rb", "Ruby", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 6, 43
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/fetch_spec.rb", "Ruby", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/spec/widgets/toggle_spec.rb", "Ruby", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/async.zsh", "Shell Script", 35, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 77
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/bind.zsh", "Shell Script", 66, 0, 0, 0, 0, 0, 0, 0, 0, 21, 20, 107
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/config.zsh", "Shell Script", 68, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 94
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/fetch.zsh", "Shell Script", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 28
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/highlight.zsh", "Shell Script", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 27
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/start.zsh", "Shell Script", 11, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 34
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/completion.zsh", "Shell Script", 63, 0, 0, 0, 0, 0, 0, 0, 0, 46, 29, 138
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/history.zsh", "Shell Script", 10, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 33
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/strategies/match_prev_cmd.zsh", "Shell Script", 21, 0, 0, 0, 0, 0, 0, 0, 0, 34, 12, 67
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/util.zsh", "Shell Script", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 12
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/src/widgets.zsh", "Shell Script", 137, 0, 0, 0, 0, 0, 0, 0, 0, 44, 51, 232
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/zsh-autosuggestions.plugin.zsh", "Shell Script", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-autosuggestions/zsh-autosuggestions.zsh", "Shell Script", 442, 0, 0, 0, 0, 0, 0, 0, 0, 263, 160, 865
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-bat/README.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-bat/zsh-bat.plugin.zsh", "Shell Script", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 18
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/.github/workflows/test.yml", "YAML", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 3, 76
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/COPYING.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/HACKING.md", "Markdown", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 28, 100
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/INSTALL.md", "Markdown", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 58, 170
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/Makefile", "Makefile", 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 9, 65
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/README.md", "Markdown", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 32, 98
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/changelog.md", "Markdown", 0, 588, 0, 0, 0, 0, 0, 0, 0, 0, 333, 921
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 36, 133
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/brackets.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 32
"/home/galeano/dotfiles/oh-my-zsh/.oh-my-zsh/custom/plugins/zsh-syntax-highlighting/docs/highlighters/cursor.md", "Markdown", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 25
